Symbol,Name,Sector,Industry,Full Time Employees,Total ESG Risk score,Environment Risk Score,Governance Risk Score,Social Risk Score,Controversy Level,Controversy Score,ESG Risk Percentile,ESG Risk Level
STZ,"Constellation Brands, Inc.",Consumer Defensive,Beverages - Wineries & Distilleries,10600.0,24.7,9.4,5.2,10.0,Moderate Controversy Level,2.0,48.0,Medium
ED,"Consolidated Edison, Inc.",Utilities,Utilities - Regulated Electric,14592.0,23.8,6.9,6.1,10.9,Significant Controversy Level,3.0,44.0,Medium
COP,Conocophillips,Energy,Oil & Gas E&P,10000.0,33.9,17.6,8.3,8.1,Moderate Controversy Level,2.0,81.0,High
CAG,"Conagra Brands, Inc.",Consumer Defensive,Packaged Foods,18600.0,30.8,10.7,4.7,15.4,Moderate Controversy Level,2.0,72.0,High
CMA,Comerica Incorporated,Financial Services,Banks - Regional,7619.0,25.2,2.5,11.7,11.0,Moderate Controversy Level,2.0,50.0,Medium
CMCSA,Comcast Corp,Communication Services,Telecom Services,186000.0,23.1,4.0,8.2,10.9,Moderate Controversy Level,2.0,41.0,Medium
CL,Colgate-Palmolive Company,Consumer Defensive,Household & Personal Products,34000.0,26.2,8.3,6.5,11.3,Moderate Controversy Level,2.0,54.0,Medium
CTSH,Cognizant Technology Solutions,Technology,Information Technology Services,344400.0,14.7,1.1,5.9,7.6,Moderate Controversy Level,2.0,10.0,Low
KO,Coca-Cola Company,Consumer Defensive,Beverages - Non-Alcoholic,79100.0,21.6,7.2,4.9,9.5,Significant Controversy Level,3.0,35.0,Medium
CMS,Cms Energy Corporation,Utilities,Utilities - Regulated Electric,8356.0,21.7,9.6,5.2,6.8,Moderate Controversy Level,2.0,35.0,Medium
CME,Cme Group Inc.,Financial Services,Financial Data & Stock Exchanges,3565.0,17.8,2.1,9.2,6.5,Low Controversy Level,1.0,20.0,Low
CLX,Clorox Company,Consumer Defensive,Household & Personal Products,8100.0,21.6,7.7,5.3,8.6,Moderate Controversy Level,2.0,35.0,Medium
CFG,"Citizens Financial Group, Inc.",Financial Services,Banks - Regional,17354.0,23.5,2.0,11.4,10.1,Moderate Controversy Level,2.0,42.0,Medium
C,Citigroup Inc.,Financial Services,Banks - Diversified,237000.0,29.2,1.8,13.7,13.8,High Controversy Level,4.0,66.0,Medium
CSCO,"Cisco Systems, Inc.",Technology,Communication Equipment,84900.0,13.9,0.4,6.5,6.9,Moderate Controversy Level,2.0,8.0,Low
CTAS,Cintas Corp,Industrials,Specialty Business Services,44500.0,18.1,3.0,5.9,9.2,Moderate Controversy Level,2.0,21.0,Low
CINF,Cincinnati Financial Corp,Financial Services,Insurance - Property & Casualty,5426.0,25.6,1.8,12.9,11.0,Low Controversy Level,1.0,52.0,Medium
CHD,"Church & Dwight Co., Inc.",Consumer Defensive,Household & Personal Products,5550.0,19.9,6.9,6.7,6.3,Low Controversy Level,1.0,27.0,Low
